void_id,n_gal,phi_d,phi_d_err,tensor_ratio,tensor_ratio_err,lcdm_tension_sigma,status
Void_01,76,2.05,0.23,90.2,28.0,3.85,Primary Sample
Void_02,199,1.30,0.11,13.2,2.4,2.08,Primary Sample
Void_04,163,1.63,0.14,57.1,7.0,4.14,Primary Sample
Void_05,98,1.51,0.18,41.7,12.0,2.55,Primary Sample
Void_06,76,1.04,0.11,42.5,12.1,0.09,Primary Sample
Void_07,92,1.77,0.22,43.9,10.6,3.27,Primary Sample
Void_08,77,1.34,0.15,37.1,11.1,1.93,Primary Sample
Void_10,90,1.56,0.19,53.7,15.6,2.68,Primary Sample
Void_03,33,1.80,0.37,122.3,108.9,2.02,Supplementary Low-N
Void_09,18,1.08,0.36,75.1,54.3,0.08,Supplementary Low-N
